Mix,1,2,3,4,5,6,7,8,9,10,11,,1,2,3,4,5,6,7,8,9,10,11,
EM1,0.884,6.643,1.564,0.158,0.608,1.565,1.538,0.26,2.124,0.07,0.228,,2.37,2.88,14.32,2.93,19.13,6.49,7.09,0.78,4.35,15.25,11.11,7.88
EM1,0.845,7.007,1.225,0.154,0.442,1.407,1.363,0.258,2.313,0.093,0.284,,,,,,,,,,,,,
EM1,0.854,6.96,1.609,0.149,0.444,1.396,1.364,0.256,2.256,0.075,0.25,,,,,,,,,,,,,
EM2,0.855,9.464,1.945,0.275,0.575,3.257,4.12,0.564,5.034,0.192,0.504,,1.38,1.37,4.82,5.65,9.13,3.16,2.78,9.50,4.39,4.66,3.47,4.58
EM2,0.839,9.71,1.917,0.264,0.542,3.071,3.921,0.532,4.8,0.179,0.488,,,,,,,,,,,,,
EM2,0.862,9.507,2.095,0.295,0.647,3.231,4.112,0.639,4.612,0.176,0.523,,,,,,,,,,,,,
M1,0.861,8.214,1.304,0.162,0.343,1.596,1.74,0.239,2.187,0.093,0.29,,,,,,,,,,,,,
M2,0.792,8.095,1.713,0.187,0.369,2.141,2.46,0.327,2.937,0.1,0.346,,,,,,,,,,,,,
M3,0.843,8.797,2.202,0.247,0.522,2.777,3.262,0.476,4.013,0.167,0.503,,,,,,,,,,,,,
M4,0.831,8.883,1.632,0.242,0.589,3.026,3.605,0.529,4.143,0.165,0.49,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
EM1,0.861,6.87,1.466,0.153666667,0.498,1.456,1.421666667,0.258,2.231,0.079333333,0.254,,0.125,4.686,9.540,0.309,0.342,1.024,5.510,0.116,28.122,0.312,,
EM2,0.852,9.560333333,1.985666667,0.278,0.588,3.186333333,4.051,0.578333333,4.815333333,0.182333333,0.505,,0.089,4.815,7.143,0.473,0.185,0.787,7.005,0.120,26.410,0.361,,
M1,0.861,8.214,1.304,0.162,0.343,1.596,1.74,0.239,2.187,0.093,0.29,,0.105,6.299,8.049,0.472,0.215,0.917,7.280,0.109,23.516,0.321,,
M2,0.792,8.095,1.713,0.187,0.369,2.141,2.46,0.327,2.937,0.1,0.346,,0.098,4.726,9.160,0.507,0.172,0.870,7.523,0.111,29.370,0.289,,
M3,0.843,8.797,2.202,0.247,0.522,2.777,3.262,0.476,4.013,0.167,0.503,,0.096,3.995,8.915,0.473,0.188,0.851,6.853,0.119,24.030,0.332,,
M4,0.831,8.883,1.632,0.242,0.589,3.026,3.605,0.529,4.143,0.165,0.49,,0.094,5.443,6.744,0.411,0.195,0.839,6.815,0.128,25.109,0.337,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,12.8,15.8,13.8,16.3,29.3,9.3,10.3,5.7,8.9,7.5,,
