Mix,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
EM1,811849,8332000,1795000,348787,557619,4625000,1903000,372312,2734000,132362,360009,592805,323410,289810,213227,246527
EM1,932338,7000000,1529000,215444,470539,2526000,2065000,427839,3089000,142110,417750,697883,375805,318316,226165,279286
EM1,948245,6863000,1612000,220375,475560,2527000,2147000,438000,3191000,144656,418566,704776,382147,318295,210027,299803
EM2,1023000,7432000,2198000,424788,653253,5430000,5430000,958884,6691000,388582,805412,1705000,881904,1099000,587271,1104000
EM2,812359,8174000,1922000,366194,584410,4628000,4767000,818449,5598000,324807,716141,1135000,427675,948176,498190,899945
EM2,909634,6752000,1921000,375659,582969,4676000,5194000,859253,5857000,347867,670053,1434000,760088,965790,493996,944041
M1,613202,4885000,1010000,147451,264677,1701000,1645000,270356,1970000,84227,230479,432592,226372,232970,160661,1865232
M2,708394,6052000,1350000,193819,355423,2548000,2500000,426494,3069000,168391,375771,690248,368268,412975,236447,348086
M3,594406,5626000,1211000,180706,372935,2636000,2596000,440045,3318000,184810,423012,797796,416604,461627,269754,475232
M4,656547,6106000,1517000,248646,462924,3251000,3446000,586393,4097000,230695,475597,1033000,543254,588494,355331,658897
