Mix,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
EM1,1606391,1030533,3802017,438445,1800263,701877,686857,1319882,594880,701442,2868965,209309,315775,146157,127967,247825,395774,346990,84721,157030,30842
EM1,1503524,989378,3652404,407865,1685076,658712,634840,1215075,509873,614808,2577267,156022,254607,113755,100692,177577,301224,262198,65521,119679,22505
EM1,1274217,740612,3096167,328055,1385375,508242,504520,928430,430305,523166,2217561,152588,238555,109891,99600,187171,313190,274236,64202,123986,23388
EM2,3826682,3584988,12737456,1113874,4947004,1948417,1653339,3392284,2347419,1450569,7117092,549053,1029980,364130,321666,686263,891722,1057594,244059,185306,89269
EM2,3720762,3536260,12817768,1153985,5235194,1981914,1703953,3457230,2453850,1462328,7627477,579296,1072559,383029,337592,675752,957722,1101909,252823,192858,93113
EM2,4149369,3914381,12750448,1078879,5201482,1931179,1715596,3748647,2478496,1470658,7200445,561718,1042168,371844,344390,679146,929428,1118783,246244,187685,89438
EM3,2895366,3157829,11800407,783867,4356100,1482023,1322680,3060979,2252489,1177004,6645636,425806,994107,341577,249009,591020,787463,1025222.3,195303,182978,74123
EM3,2971385,3227599,11720185,774676,4304825,1438929,1363962,3087718,2296806,1137653,6419870,427839,956899,335232,245130,583205,807667,1015509,195905,175620,75940
EM3,3004919,3204542,11512026,771116,4297072,1415093,1358326,2999156,2241254,1144003,6265521,432581,931714,341981,238941,561908,788814,986443,195434,175823,73825
M1,2922852,2590996,9240124,754670,3910843,1373073,1266651,2628968,1792099,1061839,5514375,408555,755448,289588,230615,488676,712897,818303,174365,174440,65173
M1,2768334,2481498,9608745,778266,3772175,1375362,1202761,2624576,1711024,1110726,5608095,383721,770100,278306,236624,499828,709820,822092,172483,172174,64001
M1,2802899,2485404,9058771,752187,3747279,1363344,1227139,2444926,1754123,1055807,5394289,389896,750346,279386,219742,481329,647802,772536,165436,166990,62458
M2,2129320,1690767,5822945,530449,2625412,915232,890621,1842023,1004706,820351,3634513,269781,497216,198468,169551,336874,505346,531449,116970,152577,43137
M2,2048954,1678505,5955471,540384,2423687,937966,857823,1807895,1021784,822960,3815014,268226,511491,200421,165703,346345,465165,531963,117808,163379,43127
M2,1501394,1312651,4178465,429214,1986785,638782,577490,1246909,704726,576177,3088612,235092,442384,164340,126357,287170,379790,458810,102702,136450,34473
M3,3597956,3422389,10895497,952730,4771416,1760168,1510224,3061460,2184651,1308813,6829786,484671,972064,301982,283644,608185,835091,982936,215109,175247,80347
M3,3567229,3225606,10464599,930067,4223894,1604677,1361856,3076815,1998299,1193261,6278196,459003,865131,310323,244492,530334,704220,850812,187662,158100,65965
M3,2970980,2761292,9785562,821947,3835950,1520438,1448395,3027592,2065833,1199818,6005717,473765,897668,334946,291360,590807,836596,980252,216785,182046,79935
M4,2872047,2576311,9898329,739822,3682533,1271529,1225172,2614694,1913113,1050087,5716279,377661,812396,287656,222760,488855,709951,823821,176441,172538,66605
M4,2840215,2700544,10147620,736460,3880302,1363246,1304782,2634543,1942878,1116330,5836199,399007,812626,302127,223652,514263,718379,853278,180383,176055,67206
M4,2746097,2698234,10127836,712910,3888323,1370404,1271932,2586760,1897812,1100601,5697908,398269,792515,300227,222501,514887,691917,843228,178773,173854,65636
M5,2526544,2137445,7863609,673303,3208750,1106947,1081098,2283527,1469826,979410,4839012,332362,649536,242016,203699,413996,614807,684649,151134,170108,55387
M5,2526750,2188076,7330761,659897,3281581,1167427,1028793,2317878,1451489,949318,4834933,345333,661051,245922,204436,431810,613810,693420,149405,163254,55038
M5,2559616,2191772,7537743,679144,3258777,1148827,1060233,2285909,1450727,950483,4925083,335737,646418,235796,203305,423056,612719,680365,149152,166964,55020
M6,3085341,2804032,10038847,803547,3920187,1374376,1320039,2796743,1941316,1155137,6023563,421100,803631,309769,236540,530534,723471,852649,182571,177976,65681
M6,3042644,2728714,10033006,789380,3874414,1376440,1306408,2641992,1900508,1143741,5759036,424729,811101,304186,236810,526760,699406,856200,175974,169731,65457
M6,3143037,2866655,9874706,807968,4018123,1364636,1287180,2765701,1948498,1150954,5961781,422224,805653,306764,237076,527997,730867,865977,181721,174656,66720
